村志代码 Gazetteer Code,村志书名 Gazetteer Title,Category,Is the data available?,Start Year,End Year,Data
0001,太平店村志,在校生 - 小学 Students in School - Elementary School,Yes,1960,1968,250
0001,太平店村志,在校生 - 小学 Students in School - Elementary School,Yes,1969,1970,500
0001,太平店村志,在校生 - 小学 Students in School - Elementary School,Yes,1988,1991,350
0001,太平店村志,在校生 - 小学 Students in School - Elementary School,Yes,1991,1997,350
0001,太平店村志,在校生 - 小学 Students in School - Elementary School,Yes,1997,2003,300
0001,太平店村志,在校生 - 小学 Students in School - Elementary School,Yes,2003,2008,400
0001,太平店村志,在校生 - 初中 Students in School - Junior High School,No,n/a,n/a,n/a
0001,太平店村志,在校生 - 高中 Students in School - High School,No,n/a,n/a,n/a
0001,太平店村志,新入学生 - 大学 Initial Student Enrollment - College/University,No,n/a,n/a,n/a
0001,太平店村志,老师- 小学 Teachers - Elementary School,Yes,1969,1970,22
0001,太平店村志,老师- 小学 Teachers - Elementary School,Yes,1988,1991,16
0001,太平店村志,老师- 小学 Teachers - Elementary School,Yes,1991,1997,15
0001,太平店村志,老师- 小学 Teachers - Elementary School,Yes,1997,2003,15
0001,太平店村志,老师- 小学 Teachers - Elementary School,Yes,2003,2008,14
0001,太平店村志,老师- 初中 Teachers - Junior High School,No,n/a,n/a,n/a
0001,太平店村志,老师- 高中 Teachers - High School,No,n/a,n/a,n/a
0001,太平店村志,受教育程度 - 文盲 Illiterate,No,n/a,n/a,n/a
0001,太平店村志,受教育程度 - 小学 Highest Level of Education - Elementary School,No,n/a,n/a,n/a
0001,太平店村志,受教育程度 - 初中 Highest Level of Education - Junior High School,No,n/a,n/a,n/a
0001,太平店村志,受教育程度 - 中专高中 Highest Level of Education - High School,No,n/a,n/a,n/a
0001,太平店村志,受教育程度 - 大专以上 Highest Level of Education - College/University or Higher,No,n/a,n/a,n/a
0002,叶店村志,在校生 - 小学 Students in School - Elementary School,No,n/a,n/a,n/a
0002,叶店村志,在校生 - 初中 Students in School - Junior High School,No,n/a,n/a,n/a
0002,叶店村志,在校生 - 高中 Students in School - High School,No,n/a,n/a,n/a
0002,叶店村志,新入学生 - 大学 Initial Student Enrollment - College/University,No,n/a,n/a,n/a
0002,叶店村志,老师- 小学 Teachers - Elementary School,No,n/a,n/a,n/a
0002,叶店村志,老师- 初中 Teachers - Junior High School,No,n/a,n/a,n/a
0002,叶店村志,老师- 高中 Teachers - High School,No,n/a,n/a,n/a
0002,叶店村志,受教育程度 - 文盲 Illiterate,No,n/a,n/a,n/a
0002,叶店村志,受教育程度 - 小学 Highest Level of Education - Elementary School,No,n/a,n/a,n/a
0002,叶店村志,受教育程度 - 初中 Highest Level of Education - Junior High School,No,n/a,n/a,n/a
0002,叶店村志,受教育程度 - 中专高中 Highest Level of Education - High School,No,n/a,n/a,n/a
0002,叶店村志,受教育程度 - 大专以上 Highest Level of Education - College/University or Higher,No,n/a,n/a,n/a
0003,马鞭田村志,在校生 - 小学 Students in School - Elementary School,No,n/a,n/a,n/a
0003,马鞭田村志,在校生 - 初中 Students in School - Junior High School,No,n/a,n/a,n/a
0003,马鞭田村志,在校生 - 高中 Students in School - High School,No,n/a,n/a,n/a
0003,马鞭田村志,新入学生 - 大学 Initial Student Enrollment - College/University,No,n/a,n/a,n/a
0003,马鞭田村志,老师- 小学 Teachers - Elementary School,No,n/a,n/a,n/a
0003,马鞭田村志,老师- 初中 Teachers - Junior High School,No,n/a,n/a,n/a
0003,马鞭田村志,老师- 高中 Teachers - High School,No,n/a,n/a,n/a
0003,马鞭田村志,受教育程度 - 文盲 Illiterate,No,n/a,n/a,n/a
0003,马鞭田村志,受教育程度 - 小学 Highest Level of Education - Elementary School,No,n/a,n/a,n/a
0003,马鞭田村志,受教育程度 - 初中 Highest Level of Education - Junior High School,No,n/a,n/a,n/a
0003,马鞭田村志,受教育程度 - 中专高中 Highest Level of Education - High School,No,n/a,n/a,n/a
0003,马鞭田村志,受教育程度 - 大专以上 Highest Level of Education - College/University or Higher,No,n/a,n/a,n/a
0004,万秀村志,新入学生 - 大学 Initial Student Enrollment - College/University,No,n/a,n/a,n/a
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1951,1952,80
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1952,1953,110
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1953,1954,125
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1954,1955,148
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1955,1956,150
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1956,1957,156
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1957,1958,199
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1958,1959,237
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1959,1960,244
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1960,1961,246
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1961,1962,240
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1962,1963,281
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1963,1964,286
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1964,1965,288
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1965,1966,321
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1966,1967,323
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1967,1968,357
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1968,1969,275
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1969,1970,310
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1970,1971,277
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1971,1972,309
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1973,1974,311
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1974,1975,279
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1975,1976,306
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1976,1977,315
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1977,1978,331
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1978,1979,339
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1979,1980,374
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1980,1981,354
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1981,1982,376
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1982,1983,379
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1983,1984,363
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1984,1985,348
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1985,1986,336
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1986,1987,330
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1987,1988,350
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1988,1989,361
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1989,1990,381
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1990,1991,402
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1991,1992,495
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1992,1993,646
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1993,1994,655
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1994,1995,741
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1995,1996,840
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1996,1997,892
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1997,1998,962
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1998,1999,958
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1999,2000,882
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,2000,2001,879
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,2001,2002,874
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,2002,2003,823
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,2003,2004,759
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,2004,2005,772
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,2005,2006,762
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,2006,2007,812
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,2007,2008,914
0004,万秀村志,在校生 - 初中 Students in School - Junior High School,No,n/a,n/a,n/a
0004,万秀村志,在校生 - 高中 Students in School - High School,No,n/a,n/a,n/a
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1952,1953,3
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1953,1954,3
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1954,1955,4
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1955,1956,4
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1956,1957,4
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1957,1958,6
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1958,1959,6
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1959,1960,7
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1960,1961,8
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1961,1962,9
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1962,1963,12
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1963,1964,13
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1964,1965,13
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1965,1966,13
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1966,1967,13
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1967,1968,13
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1968,1969,16
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1969,1970,19
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1970,1971,20
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1971,1972,23
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1972,1973,23
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1973,1974,23
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1974,1975,23
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1975,1976,23
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1976,1977,23
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1977,1978,23
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1978,1979,23
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1979,1980,23
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1980,1981,21
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1981,1982,20
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1982,1983,18
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1983,1984,19
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1984,1985,20
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1985,1986,22
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1986,1987,24
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1987,1988,24
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1988,1989,22
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1989,1990,26
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1990,1991,26
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1991,1992,27
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1992,1993,29
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1993,1994,30
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1994,1995,33
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1995,1996,33
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1998,1999,44
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1999,2000,45
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,2000,2001,41
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,2001,2002,41
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,2002,2003,40
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,2003,2004,45
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,2004,2005,43
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,2005,2006,46
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,2006,2007,48
0004,万秀村志,老师- 初中 Teachers - Junior High School,No,n/a,n/a,n/a
0004,万秀村志,老师- 高中 Teachers - High School,No,n/a,n/a,n/a
0004,万秀村志,受教育程度 - 文盲 Illiterate,No,n/a,n/a,n/a
0004,万秀村志,受教育程度 - 小学 Highest Level of Education - Elementary School,No,n/a,n/a,n/a
0004,万秀村志,受教育程度 - 初中 Highest Level of Education - Junior High School,No,n/a,n/a,n/a
0004,万秀村志,受教育程度 - 中专高中 Highest Level of Education - High School,No,n/a,n/a,n/a
0004,万秀村志,受教育程度 - 大专以上 Highest Level of Education - College/University or Higher,No,n/a,n/a,n/a
0004,万秀村志,在校生 - 小学 Students in School - Elementary School,Yes,1972,1973,281
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1996,1997,37
0004,万秀村志,老师- 小学 Teachers - Elementary School,Yes,1997,1998,38
0005,光淀村志,在校生 - 小学 Students in School - Elementary School,No,n/a,n/a,n/a
0005,光淀村志,在校生 - 初中 Students in School - Junior High School,No,n/a,n/a,n/a
0005,光淀村志,在校生 - 高中 Students in School - High School,No,n/a,n/a,n/a
0005,光淀村志,新入学生 - 大学 Initial Student Enrollment - College/University,No,n/a,n/a,n/a
0005,光淀村志,老师- 小学 Teachers - Elementary School,No,n/a,n/a,n/a
0005,光淀村志,老师- 初中 Teachers - Junior High School,No,n/a,n/a,n/a
0005,光淀村志,老师- 高中 Teachers - High School,No,n/a,n/a,n/a
0005,光淀村志,受教育程度 - 文盲 Illiterate,No,n/a,n/a,n/a
0005,光淀村志,受教育程度 - 小学 Highest Level of Education - Elementary School,No,n/a,n/a,n/a
0005,光淀村志,受教育程度 - 初中 Highest Level of Education - Junior High School,No,n/a,n/a,n/a
0005,光淀村志,受教育程度 - 中专高中 Highest Level of Education - High School,No,n/a,n/a,n/a
0005,光淀村志,受教育程度 - 大专以上 Highest Level of Education - College/University or Higher,No,n/a,n/a,n/a
0006,方等村志,在校生 - 小学 Students in School - Elementary School,No,n/a,n/a,n/a
0006,方等村志,在校生 - 初中 Students in School - Junior High School,No,n/a,n/a,n/a
0006,方等村志,在校生 - 高中 Students in School - High School,No,n/a,n/a,n/a
0006,方等村志,新入学生 - 大学 Initial Student Enrollment - College/University,No,n/a,n/a,n/a
0006,方等村志,老师- 小学 Teachers - Elementary School,No,n/a,n/a,n/a
0006,方等村志,老师- 初中 Teachers - Junior High School,No,n/a,n/a,n/a
0006,方等村志,老师- 高中 Teachers - High School,No,n/a,n/a,n/a
0006,方等村志,受教育程度 - 文盲 Illiterate,No,n/a,n/a,n/a
0006,方等村志,受教育程度 - 小学 Highest Level of Education - Elementary School,No,n/a,n/a,n/a
0006,方等村志,受教育程度 - 初中 Highest Level of Education - Junior High School,No,n/a,n/a,n/a
0006,方等村志,受教育程度 - 中专高中 Highest Level of Education - High School,No,n/a,n/a,n/a
0006,方等村志,受教育程度 - 大专以上 Highest Level of Education - College/University or Higher,No,n/a,n/a,n/a
0007,渔津洼村志,在校生 - 小学 Students in School - Elementary School,No,n/a,n/a,n/a
0007,渔津洼村志,在校生 - 初中 Students in School - Junior High School,No,n/a,n/a,n/a
0007,渔津洼村志,在校生 - 高中 Students in School - High School,No,n/a,n/a,n/a
0007,渔津洼村志,新入学生 - 大学 Initial Student Enrollment - College/University,No,n/a,n/a,n/a
0007,渔津洼村志,老师- 小学 Teachers - Elementary School,No,n/a,n/a,n/a
0007,渔津洼村志,老师- 初中 Teachers - Junior High School,No,n/a,n/a,n/a
0007,渔津洼村志,老师- 高中 Teachers - High School,No,n/a,n/a,n/a
0007,渔津洼村志,受教育程度 - 文盲 Illiterate,No,n/a,n/a,n/a
0007,渔津洼村志,受教育程度 - 小学 Highest Level of Education - Elementary School,No,n/a,n/a,n/a
0007,渔津洼村志,受教育程度 - 初中 Highest Level of Education - Junior High School,No,n/a,n/a,n/a
0007,渔津洼村志,受教育程度 - 中专高中 Highest Level of Education - High School,No,n/a,n/a,n/a
0007,渔津洼村志,受教育程度 - 大专以上 Highest Level of Education - College/University or Higher,No,n/a,n/a,n/a
0008,板板桥村志,在校生 - 小学 Students in School - Elementary School,Yes,1951,1954,60
0008,板板桥村志,在校生 - 小学 Students in School - Elementary School,Yes,1956,1961,67
0008,板板桥村志,在校生 - 小学 Students in School - Elementary School,Yes,1962,1967,84
0008,板板桥村志,在校生 - 小学 Students in School - Elementary School,Yes,1968,1977,210
0008,板板桥村志,在校生 - 小学 Students in School - Elementary School,Yes,1978,1980,410
0008,板板桥村志,在校生 - 小学 Students in School - Elementary School,Yes,1980,1981,357
0008,板板桥村志,在校生 - 小学 Students in School - Elementary School,Yes,1981,1992,388
0008,板板桥村志,在校生 - 小学 Students in School - Elementary School,Yes,1993,1994,368
0008,板板桥村志,在校生 - 小学 Students in School - Elementary School,Yes,1995,1997,290
0008,板板桥村志,在校生 - 小学 Students in School - Elementary School,Yes,1998,2000,302
0008,板板桥村志,在校生 - 小学 Students in School - Elementary School,Yes,2001,2005,297
0008,板板桥村志,在校生 - 初中 Students in School - Junior High School,No,n/a,n/a,n/a
0008,板板桥村志,在校生 - 高中 Students in School - High School,No,n/a,n/a,n/a
0008,板板桥村志,新入学生 - 大学 Initial Student Enrollment - College/University,No,n/a,n/a,n/a
0008,板板桥村志,老师- 小学 Teachers - Elementary School,Yes,1951,1954,1
0008,板板桥村志,老师- 小学 Teachers - Elementary School,Yes,1956,1961,1
0008,板板桥村志,老师- 小学 Teachers - Elementary School,Yes,1962,1967,3
0008,板板桥村志,老师- 小学 Teachers - Elementary School,Yes,1968,1977,18
0008,板板桥村志,老师- 小学 Teachers - Elementary School,Yes,1978,1980,18
0008,板板桥村志,老师- 小学 Teachers - Elementary School,Yes,1980,1981,18
0008,板板桥村志,老师- 小学 Teachers - Elementary School,Yes,1981,1992,17
0008,板板桥村志,老师- 小学 Teachers - Elementary School,Yes,1993,1994,19
0008,板板桥村志,老师- 小学 Teachers - Elementary School,Yes,1995,1997,18
0008,板板桥村志,老师- 小学 Teachers - Elementary School,Yes,1998,2000,19
0008,板板桥村志,老师- 小学 Teachers - Elementary School,Yes,2001,2005,18
0008,板板桥村志,老师- 初中 Teachers - Junior High School,No,n/a,n/a,n/a
0008,板板桥村志,老师- 高中 Teachers - High School,No,n/a,n/a,n/a
0008,板板桥村志,受教育程度 - 文盲 Illiterate,No,n/a,n/a,n/a
0008,板板桥村志,受教育程度 - 小学 Highest Level of Education - Elementary School,No,n/a,n/a,n/a
0008,板板桥村志,受教育程度 - 初中 Highest Level of Education - Junior High School,No,n/a,n/a,n/a
0008,板板桥村志,受教育程度 - 中专高中 Highest Level of Education - High School,No,n/a,n/a,n/a
0008,板板桥村志,受教育程度 - 大专以上 Highest Level of Education - College/University or Higher,No,n/a,n/a,n/a
0010,草场地村志,在校生 - 小学 Students in School - Elementary School,No,n/a,n/a,n/a
0010,草场地村志,在校生 - 初中 Students in School - Junior High School,No,n/a,n/a,n/a
0010,草场地村志,在校生 - 高中 Students in School - High School,No,n/a,n/a,n/a
0010,草场地村志,新入学生 - 大学 Initial Student Enrollment - College/University,No,n/a,n/a,n/a
0010,草场地村志,老师- 小学 Teachers - Elementary School,No,n/a,n/a,n/a
0010,草场地村志,老师- 初中 Teachers - Junior High School,No,n/a,n/a,n/a
0010,草场地村志,老师- 高中 Teachers - High School,No,n/a,n/a,n/a
0010,草场地村志,受教育程度 - 文盲 Illiterate,No,n/a,n/a,n/a
0010,草场地村志,受教育程度 - 小学 Highest Level of Education - Elementary School,No,n/a,n/a,n/a
0010,草场地村志,受教育程度 - 初中 Highest Level of Education - Junior High School,No,n/a,n/a,n/a
0010,草场地村志,受教育程度 - 中专高中 Highest Level of Education - High School,No,n/a,n/a,n/a
0010,草场地村志,受教育程度 - 大专以上 Highest Level of Education - College/University or Higher,No,n/a,n/a,n/a
0011,东莞市常平镇桥梓村志,在校生 - 小学 Students in School - Elementary School,No,n/a,n/a,n/a
0011,东莞市常平镇桥梓村志,在校生 - 初中 Students in School - Junior High School,No,n/a,n/a,n/a
0011,东莞市常平镇桥梓村志,在校生 - 高中 Students in School - High School,No,n/a,n/a,n/a
0011,东莞市常平镇桥梓村志,新入学生 - 大学 Initial Student Enrollment - College/University,No,n/a,n/a,n/a
0011,东莞市常平镇桥梓村志,老师- 小学 Teachers - Elementary School,No,n/a,n/a,n/a
0011,东莞市常平镇桥梓村志,老师- 初中 Teachers - Junior High School,No,n/a,n/a,n/a
0011,东莞市常平镇桥梓村志,老师- 高中 Teachers - High School,No,n/a,n/a,n/a
0011,东莞市常平镇桥梓村志,受教育程度 - 文盲 Illiterate,No,n/a,n/a,n/a
0011,东莞市常平镇桥梓村志,受教育程度 - 小学 Highest Level of Education - Elementary School,No,n/a,n/a,n/a
0011,东莞市常平镇桥梓村志,受教育程度 - 初中 Highest Level of Education - Junior High School,No,n/a,n/a,n/a
0011,东莞市常平镇桥梓村志,受教育程度 - 中专高中 Highest Level of Education - High School,No,n/a,n/a,n/a
0011,东莞市常平镇桥梓村志,受教育程度 - 大专以上 Highest Level of Education - College/University or Higher,No,n/a,n/a,n/a
0012,东候坊村志,在校生 - 小学 Students in School - Elementary School,No,n/a,n/a,n/a
0012,东候坊村志,在校生 - 初中 Students in School - Junior High School,No,n/a,n/a,n/a
0012,东候坊村志,在校生 - 高中 Students in School - High School,No,n/a,n/a,n/a
0012,东候坊村志,新入学生 - 大学 Initial Student Enrollment - College/University,No,n/a,n/a,n/a
0012,东候坊村志,老师- 小学 Teachers - Elementary School,No,n/a,n/a,n/a
0012,东候坊村志,老师- 初中 Teachers - Junior High School,No,n/a,n/a,n/a
0012,东候坊村志,老师- 高中 Teachers - High School,No,n/a,n/a,n/a
0012,东候坊村志,受教育程度 - 文盲 Illiterate,No,n/a,n/a,n/a
0012,东候坊村志,受教育程度 - 小学 Highest Level of Education - Elementary School,No,n/a,n/a,n/a
0012,东候坊村志,受教育程度 - 初中 Highest Level of Education - Junior High School,No,n/a,n/a,n/a
0012,东候坊村志,受教育程度 - 中专高中 Highest Level of Education - High School,No,n/a,n/a,n/a
0012,东候坊村志,受教育程度 - 大专以上 Highest Level of Education - College/University or Higher,No,n/a,n/a,n/a
0013,黄土岗村志,在校生 - 小学 Students in School - Elementary School,No,n/a,n/a,n/a
0013,黄土岗村志,在校生 - 初中 Students in School - Junior High School,No,n/a,n/a,n/a
0013,黄土岗村志,在校生 - 高中 Students in School - High School,No,n/a,n/a,n/a
0013,黄土岗村志,新入学生 - 大学 Initial Student Enrollment - College/University,No,n/a,n/a,n/a
0013,黄土岗村志,老师- 小学 Teachers - Elementary School,No,n/a,n/a,n/a
0013,黄土岗村志,老师- 初中 Teachers - Junior High School,No,n/a,n/a,n/a
0013,黄土岗村志,老师- 高中 Teachers - High School,No,n/a,n/a,n/a
0013,黄土岗村志,受教育程度 - 文盲 Illiterate,No,n/a,n/a,n/a
0013,黄土岗村志,受教育程度 - 小学 Highest Level of Education - Elementary School,No,n/a,n/a,n/a
0013,黄土岗村志,受教育程度 - 初中 Highest Level of Education - Junior High School,No,n/a,n/a,n/a
0013,黄土岗村志,受教育程度 - 中专高中 Highest Level of Education - High School,No,n/a,n/a,n/a
0013,黄土岗村志,受教育程度 - 大专以上 Highest Level of Education - College/University or Higher,No,n/a,n/a,n/a
0015,三合村志,在校生 - 小学 Students in School - Elementary School,No,n/a,n/a,n/a
0015,三合村志,在校生 - 初中 Students in School - Junior High School,No,n/a,n/a,n/a
0015,三合村志,在校生 - 高中 Students in School - High School,No,n/a,n/a,n/a
0015,三合村志,新入学生 - 大学 Initial Student Enrollment - College/University,No,n/a,n/a,n/a
0015,三合村志,老师- 小学 Teachers - Elementary School,No,n/a,n/a,n/a
0015,三合村志,老师- 初中 Teachers - Junior High School,No,n/a,n/a,n/a
0015,三合村志,老师- 高中 Teachers - High School,No,n/a,n/a,n/a
0015,三合村志,受教育程度 - 文盲 Illiterate,No,n/a,n/a,n/a
0015,三合村志,受教育程度 - 小学 Highest Level of Education - Elementary School,No,n/a,n/a,n/a
0015,三合村志,受教育程度 - 初中 Highest Level of Education - Junior High School,No,n/a,n/a,n/a
0015,三合村志,受教育程度 - 中专高中 Highest Level of Education - High School,No,n/a,n/a,n/a
0015,三合村志,受教育程度 - 大专以上 Highest Level of Education - College/University or Higher,No,n/a,n/a,n/a
0016,上海林村志,在校生 - 小学 Students in School - Elementary School,No,n/a,n/a,n/a
0016,上海林村志,在校生 - 初中 Students in School - Junior High School,No,n/a,n/a,n/a
0016,上海林村志,在校生 - 高中 Students in School - High School,No,n/a,n/a,n/a
0016,上海林村志,新入学生 - 大学 Initial Student Enrollment - College/University,No,n/a,n/a,n/a
0016,上海林村志,老师- 小学 Teachers - Elementary School,No,n/a,n/a,n/a
0016,上海林村志,老师- 初中 Teachers - Junior High School,No,n/a,n/a,n/a
0016,上海林村志,老师- 高中 Teachers - High School,No,n/a,n/a,n/a
0016,上海林村志,受教育程度 - 文盲 Illiterate,No,n/a,n/a,n/a
0016,上海林村志,受教育程度 - 小学 Highest Level of Education - Elementary School,No,n/a,n/a,n/a
0016,上海林村志,受教育程度 - 初中 Highest Level of Education - Junior High School,No,n/a,n/a,n/a
0016,上海林村志,受教育程度 - 中专高中 Highest Level of Education - High School,No,n/a,n/a,n/a
0016,上海林村志,受教育程度 - 大专以上 Highest Level of Education - College/University or Higher,No,n/a,n/a,n/a
0009,仓上村志,在校生 - 小学 Students in School - Elementary School,No,n/a,n/a,n/a
0009,仓上村志,在校生 - 初中 Students in School - Junior High School,No,n/a,n/a,n/a
0009,仓上村志,在校生 - 高中 Students in School - High School,No,n/a,n/a,n/a
0009,仓上村志,新入学生 - 大学 Initial Student Enrollment - College/University,No,n/a,n/a,n/a
0009,仓上村志,老师- 小学 Teachers - Elementary School,No,n/a,n/a,n/a
0009,仓上村志,老师- 初中 Teachers - Junior High School,No,n/a,n/a,n/a
0009,仓上村志,老师- 高中 Teachers - High School,No,n/a,n/a,n/a
0009,仓上村志,受教育程度 - 文盲 Illiterate,No,n/a,n/a,n/a
0009,仓上村志,受教育程度 - 小学 Highest Level of Education - Elementary School,No,n/a,n/a,n/a
0009,仓上村志,受教育程度 - 初中 Highest Level of Education - Junior High School,No,n/a,n/a,n/a
0009,仓上村志,受教育程度 - 中专高中 Highest Level of Education - High School,No,n/a,n/a,n/a
0009,仓上村志,受教育程度 - 大专以上 Highest Level of Education - College/University or Higher,No,n/a,n/a,n/a
0014,桑耳庄村志,在校生 - 小学 Students in School - Elementary School,No,n/a,n/a,n/a
0014,桑耳庄村志,在校生 - 初中 Students in School - Junior High School,No,n/a,n/a,n/a
0014,桑耳庄村志,在校生 - 高中 Students in School - High School,No,n/a,n/a,n/a
0014,桑耳庄村志,新入学生 - 大学 Initial Student Enrollment - College/University,Yes,1980,2000,42
